observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.800
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=23.699
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.872
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /upstream" duration_ms=24.167
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="request handler - /work" duration_ms=20.218
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=25.474
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=27.408
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.410
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=23.450
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=25.186
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.195
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.544
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.535
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.504
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.440
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.479
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.252
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.373
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.390
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.306
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.375
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.164
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.382
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.420
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=24.220
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.290
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=21.281
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=22.068
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.483
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.154
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.022
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.402
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.392
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.787
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.559
